width,depth,height,count
89,62,82,1
90,76,84,1
19,4,58,1
96,17,96,1
80,74,42,1
76,53,71,1
88,71,69,1
24,44,19,1
13,75,50,1
84,7,87,1
94,36,18,1
58,77,24,1
36,57,99,1
93,59,36,1
36,31,20,1
57,33,59,1
33,19,36,1
77,16,86,1
27,74,58,1
13,30,15,1
74,65,34,1
28,72,84,1
47,57,53,1
60,44,79,1
10,40,82,1
42,26,57,1
19,65,1,1
77,90,18,1
33,96,100,1
80,96,88,1
86,31,70,1
89,21,54,1
54,98,21,1
44,35,34,1
62,48,78,1
10,45,6,1
25,56,48,1
55,49,97,1
19,44,62,1
45,34,55,1
63,55,62,1
77,12,62,1
96,40,17,1
72,77,68,1
47,85,51,1
7,27,57,1
60,99,100,1
19,62,83,1
18,12,76,1
71,70,20,1
10,89,68,1
35,5,47,1
35,82,80,1
59,100,67,1
78,33,95,1
36,62,100,1
28,28,18,1
100,80,73,1
29,15,66,1
13,57,15,1
